Taxonomic_Code,fed,diet,fao2002Grp
14107075XX,1,h,OTHER HERBIV
1700401002,1,o,OTHER OMNIVOROUS
14122022XX,1,h,OTHER HERBIV
1290200401,1,c,OTHERCARNIV
5120500201,1,c,AMPH
1703202713,1,c,OTHERCARNIV
7411000101,0,0,ALGAE
6960900101,0,0,INVERT
1704929701,1,c,OTHERCARNIV
1700204215,1,c,OTHERCARNIV
1413000301,1,h,CATFISH
14108XXXXX,1,h,CATFISH
1703933006,1,c,OTHERCARNIV
17002042XX001 ,1,c,OTHERCARNIV
7871200421,0,0,ALGAE
74108002XX    ,0,0,ALGAE
7410200101,0,0,ALGAE
1703919101,1,c,OTHERCARNIV
1703919109,1,c,OTHERCARNIV
16501001XX    ,1,h,OTHER HERBIV
7870501502,0,0,ALGAE
1700204282,1,c,OTHERCARNIV
1750100201,1,c,OTHERCARNIV
7410800105,0,0,ALGAE
1702304706,1,c,OTHERCARNIV
2311114003,1,o,OTHER OMNIVOROUS
2290517305,1,o,OTHER OMNIVOROUS
14002043XX    ,1,o,CARP
14118XXXXX001 ,1,h,CATFISH
1705905404,1,c,OTHERCARNIV
1381200132,1,o,OTHER OMNIVOROUS
17023004XX     ,1,c,OTHERCARNIV
199XXXXXXX039  ,1,o,OTHER OMNIVOROUS
1703202704,1,c,OTHERCARNIV
30752001XX,0,0,INVERT
1782300902,1,c,OTHERCARNIV
1705832901,1,c,OTHERCARNIV
3160400508,0,0,INVERT
1230100902,1,c,SALMON
1430200208,1,c,EEL
3162300202,0,0,INVERT
